hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
musicflamingo,musicflamingo/modeling_musicflamingo.py,MusicFlamingoProcessor;MusicFlamingoRotaryEmbedding;MusicFlamingoForConditionalGeneration,multimodal,wrapper (audio + LLM),composable,MusicFlamingoProcessor->composes;MusicFlamingoRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;MusicFlamingoForConditionalGeneration->composes,,musicflamingo/modular_musicflamingo.py:102;musicflamingo/modular_musicflamingo.py:202;musicflamingo/modular_musicflamingo.py:260,"Multimodal wrapper combining audio encoder + LLM via cross-attention. Sub-models loaded via auto. Wrapper trivial. [v5 inheritance] MusicFlamingoConfig(AudioFlamingo3Config), MusicFlamingoProcessor(AudioFlamingo3Processor), MusicFlamingoRotaryEmbedding(MoonshineRotaryEmbedding), MusicFlamingoPreTrainedModel(AudioFlamingo3PreTrainedModel), MusicFlamingoForConditionalGeneration(AudioFlamingo3ForConditionalGeneration)"
musicgen,musicgen/modeling_musicgen.py,MusicgenSinusoidalPositionalEmbedding;MusicgenAttention;MusicgenDecoderLayer;MusicgenDecoder;MusicgenModel;MusicgenForCausalLM;MusicgenForConditionalGeneration,audio,encoder-decoder LM,composable,MusicgenSinusoidalPositionalEmbedding->composes;MusicgenAttention->tasks/baseline/L2/attention.py;MusicgenDecoderLayer->composes;MusicgenDecoder->composes;MusicgenModel->composes;MusicgenForCausalLM->composes;MusicgenForConditionalGeneration->composes,,musicgen/modeling_musicgen.py:106;musicgen/modeling_musicgen.py:179;musicgen/modeling_musicgen.py:291;musicgen/modeling_musicgen.py:416;musicgen/modeling_musicgen.py:563;musicgen/modeling_musicgen.py:640;musicgen/modeling_musicgen.py:1122,Decoder-only LM with cross-attention conditioned on text encoder + audio encoder (loaded via AutoModel). Sinusoidal positions init-time.
musicgen_melody,musicgen_melody/modeling_musicgen_melody.py,MusicgenMelodySinusoidalPositionalEmbedding;MusicgenMelodyAttention;MusicgenMelodyDecoderLayer;MusicgenMelodyDecoder;MusicgenMelodyModel;MusicgenMelodyForCausalLM,audio,encoder-decoder LM (melody cond),composable,MusicgenMelodySinusoidalPositionalEmbedding->composes;MusicgenMelodyAttention->tasks/baseline/L2/attention.py;MusicgenMelodyDecoderLayer->composes;MusicgenMelodyDecoder->composes;MusicgenMelodyModel->composes;MusicgenMelodyForCausalLM->composes,,musicgen_melody/modeling_musicgen_melody.py:112;musicgen_melody/modeling_musicgen_melody.py:187;musicgen_melody/modeling_musicgen_melody.py:299;musicgen_melody/modeling_musicgen_melody.py:395;musicgen_melody/modeling_musicgen_melody.py:551;musicgen_melody/modeling_musicgen_melody.py:635,Variant of musicgen with melody conditioning prepended to decoder input. Same op surface.
mvp,mvp/modeling_mvp.py,MvpLearnedPositionalEmbedding;MvpAttention;MvpEncoderLayer;MvpDecoderLayer;MvpClassificationHead;MvpPrompt;MvpEncoder;MvpDecoder;MvpModel;MvpForConditionalGeneration;MvpForSequenceClassification;MvpForQuestionAnswering;MvpDecoderWrapper;MvpForCausalLM,text,encoder-decoder + prompts,composable,MvpLearnedPositionalEmbedding->composes;MvpAttention->tasks/baseline/L2/attention.py;MvpEncoderLayer->composes;MvpDecoderLayer->composes;MvpClassificationHead->composes;MvpPrompt->composes;MvpEncoder->composes;MvpDecoder->composes;MvpModel->composes;MvpForConditionalGeneration->composes;MvpForSequenceClassification->composes;MvpForQuestionAnswering->composes;MvpDecoderWrapper->composes;MvpForCausalLM->composes,,mvp/modeling_mvp.py:63;mvp/modeling_mvp.py:90;mvp/modeling_mvp.py:237;mvp/modeling_mvp.py:298;mvp/modeling_mvp.py:407;mvp/modeling_mvp.py:431;mvp/modeling_mvp.py:478;mvp/modeling_mvp.py:641;mvp/modeling_mvp.py:870;mvp/modeling_mvp.py:1018;mvp/modeling_mvp.py:1183;mvp/modeling_mvp.py:1345;mvp/modeling_mvp.py:1501;mvp/modeling_mvp.py:1516,BART-derived encoder-decoder with optional prompt-tuning slots (extra learned KV prefixes — pure tensor ops). gelu activation L1. [v5 inheritance] MvpLearnedPositionalEmbedding(Embedding)
myt5,,,text,—,not_inference_required,,,,Folder contains only tokenization and checkpoint conversion — uses MT5 at inference.
nanochat,nanochat/modeling_nanochat.py,NanoChatRMSNorm;NanoChatRotaryEmbedding;NanoChatAttention;NanoChatMLP;NanoChatDecoderLayer;NanoChatModel;NanoChatForCausalLM,text,decoder-only,composable,NanoChatRMSNorm->tasks/baseline/L1/rms_norm.py;NanoChatRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;NanoChatAttention->tasks/baseline/L2/attention.py;NanoChatMLP->tasks/baseline/L2/clip_mlp.py;NanoChatDecoderLayer->tasks/baseline/L3/llama_decoder.py;NanoChatModel->composes;NanoChatForCausalLM->composes,,nanochat/modular_nanochat.py:43;nanochat/modular_nanochat.py:47;nanochat/modular_nanochat.py:58;nanochat/modular_nanochat.py:112;nanochat/modular_nanochat.py:119;nanochat/modular_nanochat.py:140;nanochat/modular_nanochat.py:200,"Llama-style decoder w/ RMSNorm + RoPE + GQA; ACT2FN dynamic (default tanh-style MLP); modular DSL exists; no L4 yet but trivial to wire from llama L3. [v5 inheritance] NanoChatRMSNorm(Llama4TextL2Norm), NanoChatRotaryEmbedding(LlamaRotaryEmbedding), NanoChatAttention(Qwen3Attention), NanoChatMLP(CLIPMLP), NanoChatDecoderLayer(LlamaDecoderLayer)"
nemotron,nemotron/modeling_nemotron.py,NemotronLayerNorm1P;NemotronRotaryEmbedding;NemotronMLP;NemotronAttention;NemotronFlashAttention2;NemotronSdpaAttention;NemotronDecoderLayer;NemotronModel;NemotronForCausalLM;NemotronForSequenceClassification;NemotronForQuestionAnswering;NemotronForTokenClassification,text,decoder-only,composable,NemotronLayerNorm1P->composes;NemotronRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;NemotronMLP->tasks/baseline/L2/llama_mlp.py;NemotronAttention->tasks/baseline/L2/attention.py;NemotronFlashAttention2->composes;NemotronSdpaAttention->tasks/baseline/L2/attention.py;NemotronDecoderLayer->composes;NemotronModel->composes;NemotronForCausalLM->composes;NemotronForSequenceClassification->composes;NemotronForQuestionAnswering->composes;NemotronForTokenClassification->composes,,nemotron/modeling_nemotron.py:64;nemotron/modeling_nemotron.py:86;nemotron/modeling_nemotron.py:193;nemotron/modeling_nemotron.py:220;nemotron/modeling_nemotron.py:302;nemotron/modeling_nemotron.py:409;nemotron/modeling_nemotron.py:485;nemotron/modeling_nemotron.py:557;nemotron/modeling_nemotron.py:639;nemotron/modeling_nemotron.py:714;nemotron/modeling_nemotron.py:717;nemotron/modeling_nemotron.py:721,"Llama-like with LayerNorm (not RMSNorm) and partial rotary. All ops covered. [v5 inheritance] NemotronLayerNorm1P(LayerNorm), NemotronForSequenceClassification(GenericForSequenceClassification), NemotronForQuestionAnswering(GenericForQuestionAnswering), NemotronForTokenClassification(GenericForTokenClassification)"
nemotron_h,nemotron_h/modeling_nemotron_h.py,NemotronHMamba2Mixer;NemotronHRMSNorm;NemotronHMLP;NemotronHExperts;NemotronHMoE;NemotronHTopkRouter;NemotronHAttention;NemotronHBlock;NemotronHModel;NemotronHForCausalLM,text,hybrid,composable,NemotronHMamba2Mixer->tasks/baseline/L2/mamba_mixer.py;NemotronHRMSNorm->tasks/baseline/L1/rms_norm.py;NemotronHMLP->tasks/baseline/L2/llama_mlp.py;NemotronHExperts->tasks/baseline/L1/moe_grouped_gemm.py;NemotronHMoE->tasks/baseline/L2/shared_expert_moe.py;NemotronHTopkRouter->tasks/baseline/L1/sigmoid_topk.py+tasks/baseline/L1/linear.py;NemotronHAttention->tasks/baseline/L2/attention.py;NemotronHBlock->composes;NemotronHModel->composes;NemotronHForCausalLM->composes,,nemotron_h/modular_nemotron_h.py:49;nemotron_h/modular_nemotron_h.py:105;nemotron_h/modular_nemotron_h.py:109;nemotron_h/modular_nemotron_h.py:121;nemotron_h/modular_nemotron_h.py:182;nemotron_h/modular_nemotron_h.py:226;nemotron_h/modular_nemotron_h.py:230;nemotron_h/modular_nemotron_h.py:249;nemotron_h/modular_nemotron_h.py:387;nemotron_h/modular_nemotron_h.py:482,"Mamba2 hybrid attention+MoE; vLLM-backed mamba2 chunk_scan kernel matches HF's mamba_chunk_scan_combined; MoE wiring composable from kb-nano grouped_topk + experts. [v3.3 cleanup] Cleared stale partial-ops for composable row (now-supported by audit branch L1/L2): ['mamba_scan'] [v5 inheritance] NemotronHMamba2Mixer(Zamba2MambaMixer), NemotronHRMSNorm(LlamaRMSNorm), NemotronHMLP(NemotronMLP), NemotronHMoE(DeepseekV3MoE), NemotronHTopkRouter(DeepseekV3TopkRouter)"
nllb,,,text,encoder-decoder,not_inference_required,,,NO_PT_MODELING,Folder contains tokenizer/processor only; reuses parent NLLB which is BART-style.
nllb_moe,nllb_moe/modeling_nllb_moe.py,NllbMoeScaledWordEmbedding;NllbMoeSinusoidalPositionalEmbedding;NllbMoeTop2Router;NllbMoeDenseActDense;NllbMoeExperts;NllbMoeSparseMLP;NllbMoeAttention;NllbMoeEncoderLayer;NllbMoeDecoderLayer;NllbMoeEncoder;NllbMoeDecoder;NllbMoeModel;NllbMoeForConditionalGeneration,text,encoder-decoder-MoE,composable,NllbMoeScaledWordEmbedding->tasks/baseline/L1/embedding.py;NllbMoeSinusoidalPositionalEmbedding->composes;NllbMoeTop2Router->tasks/baseline/L1/sigmoid_topk.py+tasks/baseline/L1/linear.py;NllbMoeDenseActDense->composes;NllbMoeExperts->tasks/baseline/L1/moe_grouped_gemm.py;NllbMoeSparseMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;NllbMoeAttention->tasks/baseline/L2/attention.py;NllbMoeEncoderLayer->composes;NllbMoeDecoderLayer->composes;NllbMoeEncoder->composes;NllbMoeDecoder->composes;NllbMoeModel->composes;NllbMoeForConditionalGeneration->composes,,nllb_moe/modeling_nllb_moe.py:49;nllb_moe/modeling_nllb_moe.py:63;nllb_moe/modeling_nllb_moe.py:165;nllb_moe/modeling_nllb_moe.py:318;nllb_moe/modeling_nllb_moe.py:340;nllb_moe/modeling_nllb_moe.py:367;nllb_moe/modeling_nllb_moe.py:415;nllb_moe/modeling_nllb_moe.py:513;nllb_moe/modeling_nllb_moe.py:557;nllb_moe/modeling_nllb_moe.py:667;nllb_moe/modeling_nllb_moe.py:741;nllb_moe/modeling_nllb_moe.py:860;nllb_moe/modeling_nllb_moe.py:1039,"BART-style enc-dec with top-2 MoE router; EncoderDecoderCache wrapping is composable (per pilot). [v3.3 cleanup] Cleared stale partial-ops for composable row (now-supported by audit branch L1/L2): ['encoder_decoder_cache'] [v5 inheritance] NllbMoeScaledWordEmbedding(Embedding), NllbMoeExperts(ModuleDict)"
nomic_bert,nomic_bert/modeling_nomic_bert.py,NomicBertEmbeddings;NomicBertRotaryEmbedding;NomicBertAttention;NomicBertMLP;NomicBertLayer;NomicBertModel;NomicBertPredictionHeadTransform;NomicBertOnlyMLMHead;NomicBertForMaskedLM;NomicBertForSequenceClassification;NomicBertForTokenClassification,text,encoder,composable,NomicBertEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;NomicBertRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;NomicBertAttention->tasks/baseline/L2/attention.py;NomicBertMLP->tasks/baseline/L2/llama_mlp.py;NomicBertLayer->composes;NomicBertModel->composes;NomicBertPredictionHeadTransform->composes;NomicBertOnlyMLMHead->composes;NomicBertForMaskedLM->composes;NomicBertForSequenceClassification->composes;NomicBertForTokenClassification->composes,,nomic_bert/modular_nomic_bert.py:103;nomic_bert/modular_nomic_bert.py:107;nomic_bert/modular_nomic_bert.py:111;nomic_bert/modular_nomic_bert.py:120;nomic_bert/modular_nomic_bert.py:124;nomic_bert/modular_nomic_bert.py:142;nomic_bert/modular_nomic_bert.py:209;nomic_bert/modular_nomic_bert.py:223;nomic_bert/modular_nomic_bert.py:228;nomic_bert/modular_nomic_bert.py:282;nomic_bert/modular_nomic_bert.py:288,"BERT-like with RoPE; supports flash_attn natively. All ops in L1. [v5 inheritance] NomicBertConfig(BertConfig), NomicBertEmbeddings(JinaEmbeddingsV3Embeddings), NomicBertRotaryEmbedding(LlamaRotaryEmbedding), NomicBertAttention(JinaEmbeddingsV3Attention), NomicBertMLP(GemmaMLP)"
nougat,,,multimodal,encoder-decoder,not_inference_required,,,NO_PT_MODELING,Folder contains tokenizer/processor only; Nougat reuses Donut/MBart architectures.
nystromformer,nystromformer/modeling_nystromformer.py,NystromformerEmbeddings;NystromformerSelfAttention;NystromformerAttention;NystromformerIntermediate;NystromformerLayer;NystromformerEncoder;NystromformerPredictionHeadTransform;NystromformerLMPredictionHead;NystromformerOnlyMLMHead;NystromformerModel;NystromformerForMaskedLM;NystromformerClassificationHead;NystromformerForSequenceClassification;NystromformerForMultipleChoice;NystromformerForTokenClassification;NystromformerForQuestionAnswering,text,encoder,composable,NystromformerEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;NystromformerSelfAttention->tasks/baseline/L2/encoder_attention.py;NystromformerAttention->composes;NystromformerIntermediate->tasks/baseline/L2/encoder_mlp.py;NystromformerLayer->composes;NystromformerEncoder->composes;NystromformerPredictionHeadTransform->composes;NystromformerLMPredictionHead->composes;NystromformerOnlyMLMHead->composes;NystromformerModel->composes;NystromformerForMaskedLM->composes;NystromformerClassificationHead->composes;NystromformerForSequenceClassification->composes;NystromformerForMultipleChoice->composes;NystromformerForTokenClassification->composes;NystromformerForQuestionAnswering->composes,,nystromformer/modeling_nystromformer.py:45;nystromformer/modeling_nystromformer.py:102;nystromformer/modeling_nystromformer.py:239;nystromformer/modeling_nystromformer.py:253;nystromformer/modeling_nystromformer.py:283;nystromformer/modeling_nystromformer.py:312;nystromformer/modeling_nystromformer.py:353;nystromformer/modeling_nystromformer.py:371;nystromformer/modeling_nystromformer.py:388;nystromformer/modeling_nystromformer.py:412;nystromformer/modeling_nystromformer.py:503;nystromformer/modeling_nystromformer.py:578;nystromformer/modeling_nystromformer.py:605;nystromformer/modeling_nystromformer.py:686;nystromformer/modeling_nystromformer.py:791;nystromformer/modeling_nystromformer.py:857,Nystrom approximation attention via segmented matmul + small conv2d residual; all primitives in L1.
olmo,olmo/modeling_olmo.py,OlmoLayerNorm;OlmoMLP;OlmoRotaryEmbedding;OlmoAttention;OlmoDecoderLayer;OlmoModel;OlmoForCausalLM;OlmoForSequenceClassification,text,decoder-only,composable,OlmoLayerNorm->tasks/baseline/L1/layer_norm.py;OlmoMLP->tasks/baseline/L2/llama_mlp.py;OlmoRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;OlmoAttention->tasks/baseline/L2/attention.py;OlmoDecoderLayer->tasks/baseline/L3/llama_decoder.py;OlmoModel->composes;OlmoForCausalLM->composes;OlmoForSequenceClassification->composes,,olmo/modular_olmo.py:48;olmo/modular_olmo.py:62;olmo/modular_olmo.py:72;olmo/modular_olmo.py:114;olmo/modular_olmo.py:165;olmo/modular_olmo.py:173;olmo/modular_olmo.py:182;olmo/modular_olmo.py:186,"Llama-style decoder with LayerNorm (no biases). All ops in L1. [v5 inheritance] OlmoMLP(LlamaMLP), OlmoRotaryEmbedding(LlamaRotaryEmbedding), OlmoAttention(LlamaAttention), OlmoDecoderLayer(LlamaDecoderLayer), OlmoModel(LlamaModel)"
olmo2,olmo2/modeling_olmo2.py,Olmo2RMSNorm;Olmo2RotaryEmbedding;Olmo2Attention;Olmo2DecoderLayer;Olmo2Model;Olmo2ForCausalLM;Olmo2ForSequenceClassification,text,decoder-only,composable,Olmo2RMSNorm->tasks/baseline/L1/rms_norm.py;Olmo2RotaryEmbedding->tasks/baseline/L1/rotary_emb.py;Olmo2Attention->tasks/baseline/L2/attention.py;Olmo2DecoderLayer->tasks/baseline/L3/llama_decoder.py;Olmo2Model->composes;Olmo2ForCausalLM->composes;Olmo2ForSequenceClassification->composes,,olmo2/modular_olmo2.py:90;olmo2/modular_olmo2.py:99;olmo2/modular_olmo2.py:113;olmo2/modular_olmo2.py:167;olmo2/modular_olmo2.py:212;olmo2/modular_olmo2.py:222;olmo2/modular_olmo2.py:226,"Olmo with RMSNorm; all ops in L1. [v5 inheritance] Olmo2Config(OlmoConfig), Olmo2RMSNorm(LlamaRMSNorm), Olmo2RotaryEmbedding(OlmoRotaryEmbedding), Olmo2Attention(OlmoAttention), Olmo2DecoderLayer(OlmoDecoderLayer)"
olmo3,olmo3/modeling_olmo3.py,Olmo3RMSNorm;Olmo3Attention;Olmo3DecoderLayer;Olmo3RotaryEmbedding;Olmo3Model;Olmo3ForCausalLM;Olmo3ForSequenceClassification,text,decoder-only,composable,Olmo3RMSNorm->tasks/baseline/L1/rms_norm.py;Olmo3Attention->tasks/baseline/L2/attention.py;Olmo3DecoderLayer->composes;Olmo3RotaryEmbedding->tasks/baseline/L1/rotary_emb.py;Olmo3Model->composes;Olmo3ForCausalLM->composes;Olmo3ForSequenceClassification->composes,,olmo3/modular_olmo3.py:95;olmo3/modular_olmo3.py:101;olmo3/modular_olmo3.py:153;olmo3/modular_olmo3.py:157;olmo3/modular_olmo3.py:168;olmo3/modular_olmo3.py:237;olmo3/modular_olmo3.py:241,"Olmo3 with RMSNorm + sliding window attention; mask construction via masking_utils; all ops in L1. [v5 inheritance] Olmo3Config(Olmo2Config), Olmo3RMSNorm(Olmo2RMSNorm), Olmo3Attention(Olmo2Attention), Olmo3DecoderLayer(Olmo2DecoderLayer), Olmo3RotaryEmbedding(Gemma2RotaryEmbedding)"
olmo_hybrid,olmo_hybrid/modeling_olmo_hybrid.py,OlmoHybridRMSNormGated;OlmoHybridRMSNorm;OlmoHybridShortConvolution;OlmoHybridAttention;OlmoHybridRotaryEmbedding;OlmoHybridGatedDeltaNet;OlmoHybridMLP;OlmoHybridAttentionDecoderLayer;OlmoHybridLinearAttentionDecoderLayer;OlmoHybridModel;OlmoHybridForCausalLM,text,hybrid,composable,OlmoHybridRMSNormGated->composes;OlmoHybridRMSNorm->tasks/baseline/L1/rms_norm.py;OlmoHybridShortConvolution->composes;OlmoHybridAttention->tasks/baseline/L2/attention.py;OlmoHybridRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;OlmoHybridGatedDeltaNet->composes;OlmoHybridMLP->tasks/baseline/L2/llama_mlp.py;OlmoHybridAttentionDecoderLayer->composes;OlmoHybridLinearAttentionDecoderLayer->tasks/baseline/L3/llama_decoder.py;OlmoHybridModel->composes;OlmoHybridForCausalLM->composes,,olmo_hybrid/modular_olmo_hybrid.py:294;olmo_hybrid/modular_olmo_hybrid.py:298;olmo_hybrid/modular_olmo_hybrid.py:302;olmo_hybrid/modular_olmo_hybrid.py:362;olmo_hybrid/modular_olmo_hybrid.py:425;olmo_hybrid/modular_olmo_hybrid.py:447;olmo_hybrid/modular_olmo_hybrid.py:632;olmo_hybrid/modular_olmo_hybrid.py:636;olmo_hybrid/modular_olmo_hybrid.py:643;olmo_hybrid/modular_olmo_hybrid.py:708;olmo_hybrid/modular_olmo_hybrid.py:788,"Olmo with GatedDeltaNet linear-attention layers (FLA). Causal_conv1d covered via conv1d L1 + vLLM (mamba pattern). Missing: explicit chunk_gated_delta_rule L1 wrapper. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['chunk_gated_delta_rule'] [v5 inheritance] OlmoHybridConfig(LlamaConfig), OlmoHybridRMSNormGated(Qwen3NextRMSNormGated), OlmoHybridRMSNorm(Olmo3RMSNorm), OlmoHybridShortConvolution(Conv1d), OlmoHybridAttention(Olmo3Attention)"
olmoe,olmoe/modeling_olmoe.py,OlmoeRMSNorm;OlmoeRotaryEmbedding;OlmoeMLP;OlmoeAttention;OlmoeExperts;OlmoeTopKRouter;OlmoeSparseMoeBlock;OlmoeDecoderLayer;OlmoeModel;OlmoeForCausalLM,text,decoder-only-MoE,composable,OlmoeRMSNorm->tasks/baseline/L1/rms_norm.py;OlmoeRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;OlmoeMLP->tasks/baseline/L2/llama_mlp.py;OlmoeAttention->tasks/baseline/L2/attention.py;OlmoeExperts->tasks/baseline/L1/moe_grouped_gemm.py;OlmoeTopKRouter->tasks/baseline/L1/sigmoid_topk.py+tasks/baseline/L1/linear.py;OlmoeSparseMoeBlock->tasks/baseline/L2/shared_expert_moe.py;OlmoeDecoderLayer->tasks/baseline/L3/llama_decoder.py;OlmoeModel->composes;OlmoeForCausalLM->composes,,olmoe/modular_olmoe.py:45;olmoe/modular_olmoe.py:50;olmoe/modular_olmoe.py:54;olmoe/modular_olmoe.py:58;olmoe/modular_olmoe.py:116;olmoe/modular_olmoe.py:120;olmoe/modular_olmoe.py:124;olmoe/modular_olmoe.py:140;olmoe/modular_olmoe.py:178;olmoe/modular_olmoe.py:244,"Olmo-style decoder with topK MoE; mirrors mixtral. [v5 inheritance] OlmoeRMSNorm(LlamaRMSNorm), OlmoeRotaryEmbedding(LlamaRotaryEmbedding), OlmoeMLP(GemmaMLP), OlmoeAttention(LlamaAttention), OlmoeExperts(MixtralExperts)"
omdet_turbo,omdet_turbo/modeling_omdet_turbo.py,MultiScaleDeformableAttention;OmDetTurboLanguageBackbone;OmDetTurboVisionBackbone;OmDetTurboMultiscaleDeformableAttention;OmDetTurboConvNormLayer;OmDetTurboRepVggBlock;OmDetTurboCSPRepLayer;OmDetTurboMultiheadAttention;OmDetTurboEncoderLayer;OmDetTurboEncoder;OmDetTurboHybridEncoder;OmDetTurboMLPWithDropout;OmDetTurboMLP;OmDetTurboResidualLayer;OmDetTurboTaskEncoder;OmDetTurboDeformableTransformerDecoderLayer;OmDetTurboDecoder;OmDetTurboForObjectDetection,detection,encoder-decoder,composable,MultiScaleDeformableAttention->tasks/baseline/L1/rtdetrv2_deformable_attention.py;OmDetTurboLanguageBackbone->composes;OmDetTurboVisionBackbone->composes;OmDetTurboMultiscaleDeformableAttention->tasks/baseline/L1/rtdetrv2_deformable_attention.py;OmDetTurboConvNormLayer->composes;OmDetTurboRepVggBlock->composes;OmDetTurboCSPRepLayer->composes;OmDetTurboMultiheadAttention->tasks/baseline/L2/attention.py;OmDetTurboEncoderLayer->composes;OmDetTurboEncoder->composes;OmDetTurboHybridEncoder->composes;OmDetTurboMLPWithDropout->composes;OmDetTurboMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;OmDetTurboResidualLayer->composes;OmDetTurboTaskEncoder->composes;OmDetTurboDeformableTransformerDecoderLayer->composes;OmDetTurboDecoder->composes;OmDetTurboForObjectDetection->composes,,omdet_turbo/modeling_omdet_turbo.py:164;omdet_turbo/modeling_omdet_turbo.py:253;omdet_turbo/modeling_omdet_turbo.py:277;omdet_turbo/modeling_omdet_turbo.py:298;omdet_turbo/modeling_omdet_turbo.py:407;omdet_turbo/modeling_omdet_turbo.py:429;omdet_turbo/modeling_omdet_turbo.py:449;omdet_turbo/modeling_omdet_turbo.py:478;omdet_turbo/modeling_omdet_turbo.py:545;omdet_turbo/modeling_omdet_turbo.py:617;omdet_turbo/modeling_omdet_turbo.py:642;omdet_turbo/modeling_omdet_turbo.py:818;omdet_turbo/modeling_omdet_turbo.py:830;omdet_turbo/modeling_omdet_turbo.py:848;omdet_turbo/modeling_omdet_turbo.py:862;omdet_turbo/modeling_omdet_turbo.py:874;omdet_turbo/modeling_omdet_turbo.py:1159;omdet_turbo/modeling_omdet_turbo.py:1473,"RT-DETR-style hybrid encoder + open-vocab decoder. Deformable attention (v1 numerics) maps to v2 with method=default (pilot-verified bit-equivalent). [v5 inheritance] OmDetTurboDecoder(OmDetTurboPreTrainedModel), OmDetTurboForObjectDetection(OmDetTurboPreTrainedModel)"
oneformer,oneformer/modeling_oneformer.py,OneFormerHungarianMatcher;OneFormerLoss;OneFormerPixelDecoderEncoderMultiscaleDeformableAttention;OneFormerPixelDecoderEncoderLayer;OneFormerPixelDecoderEncoderOnly;OneFormerPixelDecoder;OneFormerPixelLevelModule;OneFormerAttention;OneFormerTransformerDecoderSelfAttentionLayer;OneFormerTransformerDecoderCrossAttentionLayer;OneFormerTransformerDecoderFFNLayer;OneFormerMLPPredictionHead;OneFormerTransformerDecoderLayer;OneFormerTransformerDecoderQueryTransformerDecoder;OneFormerTransformerDecoderQueryTransformerDecoderLayer;OneFormerTransformerDecoderQueryTransformer;OneFormerTransformerDecoder;OneFormerTransformerModule;OneFormerSinePositionEmbedding;PredictionBlock;OneFormerTextMapperAttention;OneFormerTextTransformerDecoderLayer;OneFormerTextContextDecoder;OneFormerTextMLP;OneFormerTextTransformerLayer;OneFormerTextTransformer;OneFormerTextEncoder;OneFormerTextMapper;OneFormerTaskModel;OneFormerModel;OneFormerForUniversalSegmentation,segmentation,detection-segmentation,composable,OneFormerHungarianMatcher->composes;OneFormerLoss->composes;OneFormerPixelDecoderEncoderMultiscaleDeformableAttention->tasks/baseline/L1/rtdetrv2_deformable_attention.py;OneFormerPixelDecoderEncoderLayer->composes;OneFormerPixelDecoderEncoderOnly->composes;OneFormerPixelDecoder->composes;OneFormerPixelLevelModule->composes;OneFormerAttention->tasks/baseline/L2/attention.py;OneFormerTransformerDecoderSelfAttentionLayer->composes;OneFormerTransformerDecoderCrossAttentionLayer->composes;OneFormerTransformerDecoderFFNLayer->composes;OneFormerMLPPredictionHead->composes;OneFormerTransformerDecoderLayer->composes;OneFormerTransformerDecoderQueryTransformerDecoder->composes;OneFormerTransformerDecoderQueryTransformerDecoderLayer->composes;OneFormerTransformerDecoderQueryTransformer->composes;OneFormerTransformerDecoder->composes;OneFormerTransformerModule->composes;OneFormerSinePositionEmbedding->composes;PredictionBlock->composes;OneFormerTextMapperAttention->tasks/baseline/L2/attention.py;OneFormerTextTransformerDecoderLayer->composes;OneFormerTextContextDecoder->composes;OneFormerTextMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;OneFormerTextTransformerLayer->composes;OneFormerTextTransformer->composes;OneFormerTextEncoder->composes;OneFormerTextMapper->composes;OneFormerTaskModel->composes;OneFormerModel->composes;OneFormerForUniversalSegmentation->composes,,oneformer/modeling_oneformer.py:238;oneformer/modeling_oneformer.py:347;oneformer/modeling_oneformer.py:938;oneformer/modeling_oneformer.py:1031;oneformer/modeling_oneformer.py:1123;oneformer/modeling_oneformer.py:1247;oneformer/modeling_oneformer.py:1447;oneformer/modeling_oneformer.py:1473;oneformer/modeling_oneformer.py:1609;oneformer/modeling_oneformer.py:1667;oneformer/modeling_oneformer.py:1739;oneformer/modeling_oneformer.py:1781;oneformer/modeling_oneformer.py:1813;oneformer/modeling_oneformer.py:1900;oneformer/modeling_oneformer.py:1947;oneformer/modeling_oneformer.py:2075;oneformer/modeling_oneformer.py:2121;oneformer/modeling_oneformer.py:2277;oneformer/modeling_oneformer.py:2353;oneformer/modeling_oneformer.py:2400;oneformer/modeling_oneformer.py:2415;oneformer/modeling_oneformer.py:2451;oneformer/modeling_oneformer.py:2481;oneformer/modeling_oneformer.py:2526;oneformer/modeling_oneformer.py:2545;oneformer/modeling_oneformer.py:2579;oneformer/modeling_oneformer.py:2603;oneformer/modeling_oneformer.py:2650;oneformer/modeling_oneformer.py:2711;oneformer/modeling_oneformer.py:2818;oneformer/modeling_oneformer.py:2954,"Mask2Former-derivative universal seg (panoptic+instance+semantic). Deformable encoder + MaskFormer-style decoder. Uses nn.MultiheadAttention (composable from kb-nano sdpa+linear). cross_entropy training-only. new_canonical_name_needed: multihead_attention. [v3.3 cleanup] Cleared stale partial-ops for composable row (now-supported by audit branch L1/L2): ['multihead_attention'] [v5 inheritance] OneFormerTransformerDecoderOutput(BaseModelOutput), OneFormerModel(OneFormerPreTrainedModel), OneFormerForUniversalSegmentation(OneFormerPreTrainedModel)"
